"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675155574784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Itanasi2",98,TRUE,FALSE,NA,NA
"15","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675155513345",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JohnsonSakaja2",98,TRUE,FALSE,NA,NA
"16","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675151331328",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ItsWandathi",98,TRUE,FALSE,NA,NA
"17","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675147173888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","haningt61549564",98,TRUE,FALSE,NA,NA
"18","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675142938624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JamesWeru11",98,TRUE,FALSE,NA,NA
"19","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675126153216",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cheget1",98,TRUE,FALSE,NA,NA
"20","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675109416961",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","karuri43828362",98,TRUE,FALSE,NA,NA
"21","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675025436672",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MathayoJoho",98,TRUE,FALSE,NA,NA
"22","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675017146368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ess_Kimani",98,TRUE,FALSE,NA,NA
"23","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674941616128",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ChumbaRock",98,TRUE,FALSE,NA,NA
